zipcode,2011,2012,2013,2014,2015
10001,1463641.666667,1525866.666667,1741375.0,2092366.666667,2411575.0
10003,1196925.0,1229316.666667,1326616.666667,1394616.666667,1552000.0
10004,1129475.0,1111725.0,1302841.666667,1460791.666667,1481858.333333
10005,901591.666667,891041.666667,968358.333333,1129166.666667,1228308.333333
10007,1754208.333333,1809900.0,2120516.666667,2448441.666667,2700125.0
10009,845416.666667,887375.0,962641.666667,1049658.333333,1127362.5
10011,,,,,
10013,2131100.0,2192550.0,2534425.0,2912475.0,3127216.666667
10016,,,,,1079200.0
10017,,,,,923775.0
10018,,,,,1725700.0
10022,,,,,
10023,,,,,
10027,640350.0,650025.0,762316.666667,868200.0,1029262.5
10029,582025.0,584916.666667,627050.0,698333.333333,717087.5
10030,508591.666667,492641.666667,540325.0,570783.333333,604700.0
10033,,,,,
10036,886408.333333,886341.666667,963866.666667,1093450.0,1254800.0
10038,,,,,1117300.0
10128,,,,,1165850.0
10303,271108.333333,259408.333333,258383.333333,276933.333333,287200.0
10467,300083.333333,282616.666667,285541.666667,300158.333333,320412.5
10470,,,,,
10473,331866.666667,310766.666667,314741.666667,318925.0,332375.0
10504,1008925.0,975141.666667,997016.666667,1053958.333333,1047008.333333
10512,262458.333333,251191.666667,246333.333333,240208.333333,241341.666667
10538,924150.0,908283.333333,985758.333333,1033041.666667,1045800.0
10549,561525.0,545408.333333,554008.333333,593033.333333,581408.333333
10552,427058.333333,391866.666667,418675.0,446316.666667,476608.333333
10591,454558.333333,452433.333333,475283.333333,500033.333333,515175.0
10598,368525.0,346750.0,359833.333333,359583.333333,354733.333333
10601,358900.0,332933.333333,334491.666667,318258.333333,308775.0
10604,543508.333333,535183.333333,565433.333333,592483.333333,588783.333333
10703,345108.333333,306575.0,318566.666667,332333.333333,312500.0
10709,561416.666667,544825.0,564250.0,600033.333333,623733.333333
10952,,,,,
10956,460758.333333,440058.333333,440400.0,426541.666667,425416.666667
10983,449300.0,418658.333333,412858.333333,423075.0,424541.666667
11001,460125.0,455450.0,470991.666667,496525.0,515825.0
11023,851600.0,840333.333333,893175.0,988975.0,1001958.333333
11201,707750.0,740783.333333,831225.0,941641.666667,1050916.666667
11203,357416.666667,350766.666667,358883.333333,377166.666667,392016.666667
11205,447758.333333,435266.666667,532516.666667,681241.666667,731491.666667
11211,530491.666667,576125.0,693083.333333,861516.666667,938766.666667
11213,,,,,755250.0
11221,370108.333333,402658.333333,498908.333333,681875.0,832983.333333
11222,498433.333333,550083.333333,638758.333333,766658.333333,869941.666667
11226,437525.0,438641.666667,482383.333333,584616.666667,613433.333333
11233,,,,,
11238,509616.666667,549083.333333,616566.666667,751383.333333,838387.5
11356,463408.333333,451350.0,472133.333333,527325.0,567558.333333
11385,420791.666667,417333.333333,435966.666667,474800.0,512283.333333
11501,410875.0,407408.333333,444358.333333,469583.333333,473941.666667
11514,407941.666667,411266.666667,430183.333333,443175.0,442541.666667
11518,392150.0,377683.333333,384091.666667,415916.666667,434058.333333
11553,276983.333333,268933.333333,268608.333333,281333.333333,299291.666667
11554,357366.666667,355933.333333,376600.0,399225.0,409625.0
11580,333341.666667,323350.0,333566.666667,351291.666667,364266.666667
11694,706708.333333,696766.666667,660875.0,627083.333333,638316.666667
11701,269666.666667,251158.333333,252991.666667,258391.666667,266041.666667
11735,342200.0,339250.0,348283.333333,360883.333333,367575.0
11763,248575.0,234300.0,233616.666667,233950.0,242633.333333
11767,394966.666667,379550.0,382541.666667,389291.666667,383500.0
11776,297758.333333,278691.666667,280600.0,289566.666667,288133.333333
11777,443758.333333,409958.333333,414441.666667,413966.666667,429150.0
11803,468783.333333,462525.0,489866.666667,508883.333333,517300.0
12413,,,,,136200.0
12545,305216.666667,274733.333333,264641.666667,280675.0,285000.0
12550,198050.0,182700.0,178516.666667,178066.666667,172991.666667
12553,219116.666667,204366.666667,200283.333333,197833.333333,193566.666667
12578,261816.666667,240441.666667,234216.666667,242058.333333,242075.0
12801,130875.0,129450.0,131641.666667,132741.666667,124883.33333299999
12866,281308.333333,279575.0,286708.333333,306075.0,307850.0
12901,125908.33333299999,126008.33333299999,128308.33333299999,131633.333333,132108.333333
13057,112066.66666700001,112783.33333299999,111141.66666700001,113558.33333299999,109509.09090899999
13090,,,,,
13114,94100.0,92041.666667,97108.333333,99450.0,106641.666667
13203,74766.666667,75566.666667,77066.666667,76583.333333,74672.727273
13205,63083.333333,63183.333333,65416.666667,63216.666667,63763.636364
13210,121575.0,122941.66666700001,120500.0,118366.66666700001,126400.0
13214,138116.666667,140591.666667,144250.0,145133.333333,146063.636364
13679,131133.333333,143591.666667,139941.666667,133900.0,131108.333333
13833,106700.0,108716.66666700001,122525.0,113441.66666700001,112791.66666700001
14004,142783.333333,147241.666667,152366.666667,155233.333333,145483.333333
14011,96441.666667,96650.0,96916.666667,99458.333333,104162.5
14051,,,,,
14211,,,,,
14216,115808.33333299999,120975.0,130108.33333299999,141916.666667,147666.666667
14424,158316.666667,156550.0,161058.333333,166150.0,168500.0
14450,175016.666667,175308.333333,178600.0,181450.0,183375.0
14612,123958.33333299999,126900.0,128008.33333299999,128916.66666700001,129675.0
14735,58575.0,58408.333333,57641.666667,59358.333333,55275.0
15012,99283.333333,97525.0,97416.666667,101208.333333,99966.666667
15220,122116.66666700001,121341.66666700001,125891.66666700001,133366.666667,138283.333333
15401,77208.333333,80658.333333,87091.666667,89175.0,88116.666667
15601,125058.33333299999,124941.66666700001,128300.0,133391.666667,133058.333333
16066,247900.0,248908.333333,257175.0,277458.333333,280258.333333
16148,112350.0,113050.0,113166.66666700001,120800.0,119125.0
17011,172333.333333,169741.666667,172983.333333,179066.666667,174266.666667
17078,172258.333333,172508.333333,170541.666667,177700.0,179408.333333
17110,137733.333333,133616.666667,134008.333333,138458.333333,137033.333333
17404,119758.33333299999,115316.66666700001,113816.66666700001,112758.33333299999,111975.0
17406,146391.666667,140991.666667,138033.333333,140066.666667,140350.0
17555,230900.0,224916.666667,220833.333333,224675.0,224158.333333
17602,127358.33333299999,126683.33333299999,127441.66666700001,130316.66666700001,132500.0
17777,120116.66666700001,126933.33333299999,128225.0,131975.0,140791.666667
18052,169608.333333,164600.0,157841.666667,163158.333333,162691.666667
18240,114666.66666700001,109741.66666700001,108483.33333299999,112925.0,115391.66666700001
19002,366758.333333,365625.0,377825.0,391475.0,387775.0
19004,399141.666667,390275.0,404933.333333,428741.666667,435358.333333
19007,170383.333333,160600.0,154641.666667,167241.666667,165175.0
19022,103191.666667,91241.666667,85266.666667,83108.333333,82816.666667
19034,428683.333333,424833.333333,437891.666667,475633.333333,484925.0
19038,254008.333333,247433.333333,251958.333333,260766.666667,259116.666667
19040,242750.0,235075.0,241033.333333,252041.666667,252533.333333
